claim_text,evidence_text,support_label,pair_type
Government health department confirms a new vaccination program will begin next month after approval from public hospitals.,Government health department confirms a new vaccination program will begin next month after approval from public hospitals.,1,supportive
Government health department confirms a new vaccination program will begin next month after approval from public hospitals.,Government health department confirms a new vaccination program.,1,supportive
Government health department confirms a new vaccination program will begin next month after approval from public hospitals.,Government health department confirms a new vaccination program. Government health department confirms a new vaccination program will begin next month after approval from public hospitals.,1,supportive
Government health department confirms a new vaccination program will begin next month after approval from public hospitals.,Scientists at the national weather center reported that monsoon rainfall is expected to remain close to seasonal averages this year.,0,mismatch
Government health department confirms a new vaccination program will begin next month after approval from public hospitals.,Scientists at the national weather center reported that monsoon rainfall.,0,mismatch
Government health department confirms a new vaccination program will begin next month after approval from public hospitals.,The city transport authority announced new electric buses on three major routes to reduce air pollution.,0,mismatch
Government health department confirms a new vaccination program will begin next month after approval from public hospitals.,The city transport authority announced new electric buses.,0,mismatch
Government health department confirms a new vaccination program will begin next month after approval from public hospitals.,A university research team published peer reviewed findings showing improved crop yield from water saving irrigation methods.,0,mismatch
Government health department confirms a new vaccination program will begin next month after approval from public hospitals.,A university research team published peer reviewed findings.,0,mismatch
Scientists at the national weather center reported that monsoon rainfall is expected to remain close to seasonal averages this year.,Scientists at the national weather center reported that monsoon rainfall is expected to remain close to seasonal averages this year.,1,supportive
Scientists at the national weather center reported that monsoon rainfall is expected to remain close to seasonal averages this year.,Scientists at the national weather center reported that monsoon rainfall.,1,supportive
Scientists at the national weather center reported that monsoon rainfall is expected to remain close to seasonal averages this year.,Scientists at the national weather center reported that monsoon rainfall. Scientists at the national weather center reported that monsoon rainfall is expected to remain close to seasonal averages this year.,1,supportive
Scientists at the national weather center reported that monsoon rainfall is expected to remain close to seasonal averages this year.,The city transport authority announced new electric buses on three major routes to reduce air pollution.,0,mismatch
Scientists at the national weather center reported that monsoon rainfall is expected to remain close to seasonal averages this year.,The city transport authority announced new electric buses.,0,mismatch
Scientists at the national weather center reported that monsoon rainfall is expected to remain close to seasonal averages this year.,A university research team published peer reviewed findings showing improved crop yield from water saving irrigation methods.,0,mismatch
Scientists at the national weather center reported that monsoon rainfall is expected to remain close to seasonal averages this year.,A university research team published peer reviewed findings.,0,mismatch
Scientists at the national weather center reported that monsoon rainfall is expected to remain close to seasonal averages this year.,The finance ministry released official data showing inflation dropped slightly compared with the previous quarter.,0,mismatch
Scientists at the national weather center reported that monsoon rainfall is expected to remain close to seasonal averages this year.,The finance ministry released official data showing inflation.,0,mismatch
The city transport authority announced new electric buses on three major routes to reduce air pollution.,The city transport authority announced new electric buses on three major routes to reduce air pollution.,1,supportive
The city transport authority announced new electric buses on three major routes to reduce air pollution.,The city transport authority announced new electric buses.,1,supportive
The city transport authority announced new electric buses on three major routes to reduce air pollution.,The city transport authority announced new electric buses. The city transport authority announced new electric buses on three major routes to reduce air pollution.,1,supportive
The city transport authority announced new electric buses on three major routes to reduce air pollution.,A university research team published peer reviewed findings showing improved crop yield from water saving irrigation methods.,0,mismatch
The city transport authority announced new electric buses on three major routes to reduce air pollution.,A university research team published peer reviewed findings.,0,mismatch
The city transport authority announced new electric buses on three major routes to reduce air pollution.,The finance ministry released official data showing inflation dropped slightly compared with the previous quarter.,0,mismatch
The city transport authority announced new electric buses on three major routes to reduce air pollution.,The finance ministry released official data showing inflation.,0,mismatch
