text,label
"Government health department confirms a new vaccination program will begin next month after approval from public hospitals.",REAL
"Scientists at the national weather center reported that monsoon rainfall is expected to remain close to seasonal averages this year.",REAL
"The city transport authority announced new electric buses on three major routes to reduce air pollution.",REAL
"A university research team published peer reviewed findings showing improved crop yield from water saving irrigation methods.",REAL
"The finance ministry released official data showing inflation dropped slightly compared with the previous quarter.",REAL
"Local officials confirmed the bridge repair project finished ahead of schedule and reopened to public traffic.",REAL
"Doctors from a public medical college advised citizens to follow hygiene guidelines during the seasonal flu outbreak.",REAL
"The education board published exam results on its official website and announced the counselling schedule.",REAL
"A government press release stated that rural internet access expanded to several new districts this year.",REAL
"Police confirmed that emergency teams safely evacuated residents after heavy rainfall caused flooding in low lying areas.",REAL
"Space researchers announced a successful satellite test after reviewing telemetry from the launch mission.",REAL
"The state electricity board introduced a rebate for households that install rooftop solar panels.",REAL
"An official labour report showed that employment in manufacturing increased during the last six months.",REAL
"Environmental experts documented improved river water quality after wastewater treatment upgrades were completed.",REAL
"Airport authorities issued a notice about revised security checks during the holiday travel period.",REAL
"Doctors warn that drinking warm salt water every hour can instantly cure all forms of cancer without medicine.",FAKE
"A viral post claims that the moon emits healing energy each Friday that can fully replace hospital treatment.",FAKE
"Social media users falsely reported that all bank savings would disappear overnight due to a secret software reset.",FAKE
"An unverified website claimed celebrities discovered a fruit that makes people permanently immune to every disease.",FAKE
"A fabricated article said the government plans to ban all textbooks and replace schools with television shows.",FAKE
"A misleading message claimed airplanes are spraying chemicals that erase human memory across entire cities.",FAKE
"An online rumor said a famous actor became prime minister of three countries on the same day.",FAKE
"Posts on unknown blogs alleged that smartphones can read every thought and send them directly to supermarkets.",FAKE
"A fake report claimed drinking only coffee for seven days makes the brain operate at one thousand percent.",FAKE
"A viral message said all oceans would turn into fresh juice because of a secret machine hidden underwater.",FAKE
"A made up article claimed that sleeping with onions in socks can instantly remove every virus from the body.",FAKE
"A false post insisted that the sun had been switched off for maintenance and replaced with artificial lights.",FAKE
"Rumors spread online that eating silver paper allows humans to speak fluently with animals within two hours.",FAKE
"A fabricated headline claimed that parliament approved a law requiring citizens to laugh exactly ten times daily.",FAKE
"A fake story alleged that internet towers can transform ordinary pets into invisible creatures during thunderstorms.",FAKE
